team,auto,teleop,endgame,upper,lower,individual_climb,defensive_impact,win%
frc6502,4.166666666666666,8.8,2.9,12.35,1.7,0.0,-1.3045839169000946,0.65
frc900,3.9333333333333336,6.816666666666667,5.383333333333334,9.9,0.65,2.35,-3.008799603174604,0.7
frc1225,4.2,6.133333333333333,3.3333333333333335,8.45,1.5,0.05,5.359873366013071,0.35
frc5727,3.9666666666666672,8.916666666666666,3.3833333333333337,11.85,3.05,0.2,0.6323891223155929,0.7
frc2642,4.033333333333334,7.049999999999999,5.033333333333333,9.15,2.85,1.35,1.9010498366013064,0.75
frc3459,3.6000000000000005,6.6,4.033333333333333,8.15,3.5,0.45,6.667496498599439,0.4
frc3196,3.142857142857143,5.523809523809524,4.880952380952381,7.642857142857143,0.7857142857142857,1.3571428571428572,2.5453439709217034,0.35714285714285715
frc6932,3.0476190476190474,6.952380952380952,4.166666666666667,8.714285714285714,3.4285714285714284,0.0,5.971824563158598,0.42857142857142855
frc587,3.1428571428571432,5.166666666666666,5.642857142857143,7.214285714285714,1.0714285714285714,2.0714285714285716,3.7815542883820177,0.35714285714285715
frc2655,3.142857142857143,4.928571428571428,3.523809523809524,6.357142857142857,1.5714285714285714,0.5,-4.006004068293984,0.5714285714285714
frc4290,3.142857142857143,5.904761904761905,4.0,7.0,3.7142857142857144,0.0,0.27217720421501973,0.5714285714285714
frc4935,3.5714285714285707,4.404761904761904,4.071428571428571,5.928571428571429,1.3571428571428572,0.21428571428571427,-0.123561091103108,0.42857142857142855
frc4828,3.960784313725491,5.549019607843136,4.294117647058823,8.058823529411764,0.5294117647058824,0.6470588235294118,2.952593096061954,0.6470588235294118
frc7890,3.4901960784313726,7.078431372549019,3.96078431372549,9.705882352941176,1.8235294117647058,0.058823529411764705,-1.3616019937386719,0.7058823529411765
frc6894,3.4117647058823533,5.098039215686274,3.235294117647059,7.0588235294117645,1.1764705882352942,0.0,1.6107637172516065,0.5294117647058824
frc3506,3.688888888888889,6.177777777777777,4.0,7.4,3.7333333333333334,0.2,3.9842584811702477,0.5333333333333333
frc5511,3.7777777777777786,7.533333333333332,3.933333333333333,9.8,1.9333333333333333,0.0,3.481086212262684,0.5333333333333333
frc8727,2.7555555555555555,4.644444444444445,5.333333333333333,5.4,3.1333333333333333,1.4,7.821242608154373,0.3333333333333333
frc5518,2.8571428571428568,6.30952380952381,2.4285714285714284,8.285714285714286,2.357142857142857,0.0,2.81221155128718,0.5
frc2640,2.8095238095238098,3.214285714285714,4.4523809523809526,3.7142857142857144,2.2142857142857144,0.42857142857142855,-1.24828681472589,0.5714285714285714
frc6888,2.8095238095238098,4.928571428571429,4.523809523809524,5.571428571428571,3.642857142857143,0.21428571428571427,6.41592136854742,0.35714285714285715
frc5190,4.166666666666667,5.708333333333332,4.666666666666667,7.625,1.875,0.6875,2.0393936741363214,0.625
frc1533,4.125,7.791666666666665,4.229166666666666,10.875,1.625,0.4375,1.6028799019607827,0.625
frc5679,3.291666666666666,4.291666666666667,3.9791666666666665,5.6875,1.0625,0.1875,1.0558998599439766,0.375
frc8833,2.6666666666666665,4.194444444444444,3.1666666666666665,5.416666666666667,1.75,0.0,-1.475532990974168,0.3333333333333333
frc6639,2.277777777777778,4.444444444444445,1.8333333333333333,6.0,1.3333333333333333,0.0,-2.036646047307812,0.3333333333333333
frc3822,2.8333333333333335,3.3333333333333335,1.9166666666666667,3.4166666666666665,1.8333333333333333,0.0,-3.724864807033924,0.16666666666666666
frc8030,1.6666666666666667,3.2222222222222228,2.361111111111111,3.4166666666666665,1.5,0.0,2.664524004046063,0.16666666666666666
frc6908,2.6666666666666665,4.027777777777778,2.361111111111111,5.083333333333333,1.9166666666666667,0.0,-0.5728515017117951,0.4166666666666667
